Word	Counts	Cluster
boy	553	6
entire	552	7
truth	552	0
set	551	10
prepared	550	10
advantages	550	5
certainly	550	7
sense	549	0
force	549	0
walls	549	3
paper	546	0
why	542	7
clothing	541	2
vicious	541	8
tried	541	10
something	540	8
execution	540	6
economy	540	0
applied	540	10
get	539	17
none	538	8
call	538	17
remarks	538	5
does	537	4
ex	537	10
town	536	16
confidence	534	8
union	534	16
supposed	532	10
side	531	3
father	530	8
peace	530	6
feeling	530	8
viz	530	16
process	528	6
away	527	3
eastern_penitentiary	527	16
improved	526	10
lead	526	17
instead	523	7
church	522	16
annual_report	522	11
interesting	521	7
de	521	15
debtor	520	6
history	520	5
living	520	8
t	519	15
member	519	11
relief	518	2
murder	518	6
costs	518	2
favor	517	0
rule	516	0
minds	516	8
gaol	516	16
did	515	4
jails	512	16
readers	512	0
died	511	9
engaged	509	10
published	509	10
occupied	509	10
superintendent	509	11
irish	509	16
bring	508	17
colored	508	16
natural	506	7
back	506	3
friend	505	15
price	504	2
measures	503	5
remain	503	17
lost	502	10
heard	502	10
citizens	501	5
mass	499	15
cents	499	2
visitors	498	11
commission	498	11
acts	497	5
near	495	16
articles	495	2
successful	494	7
supplied	493	1
self	492	8
disposed	492	10
consider	491	17
families	490	16
numbers	489	16
arrest	489	6
continued	488	10
produce	488	17
effort	487	0
difficult	487	7
individuals	487	5
testimony	487	0
wife	486	6
thing	486	0
deaths	485	9
ladies	484	11
frequently	483	7
difficulty	483	0
males	483	9
existing	482	7
intended	481	10
national	481	16
otherwise	481	6
off	480	3
annually	480	2
trade	478	3
occasion	476	0
influences	476	5
real	475	7
jury	475	6
worthy	474	7
magistrates	474	11
returns	473	5
anything	472	8
taught	471	10
follows	470	9
conducted	470	10
bill	469	11
male	469	16
chief	467	11
mere	466	7
taking	466	4
prove	465	17
parts	465	5
expected	463	10
loss	463	2
morning	462	9
party	462	6
directed	461	10
additional	460	2
equal	460	7
neither	460	7
examination	459	0
english	458	16
led	456	10
shop	456	3
wrong	456	6
enter	455	17
air	455	13
shows	455	4
relation	454	0
im	454	0
parties	454	6
expressed	453	10
oath	453	6
arrested	451	6
demand	450	0
hence	450	7
shown	450	10
bread	450	2
mentioned	449	10
regular	449	7
difference	449	0
statistics	449	5
addition	448	2
returned	448	10
complete	448	7
remedy	446	0
hard	445	7
word	445	0
reading	443	7
societies	442	5
legislation	442	5
master	441	11
referred	441	10
congregate	441	16
evening	439	9
learn	439	17
creditor	439	6
december	438	9
hear	437	17
head	437	3
went	436	4
youth	436	8
fail	436	17
introduced	435	10
words	435	8
attended	435	10
gave	434	4
leaving	434	9
opened	433	10
besides	432	4
virtue	432	8
reported	431	10
numerous	430	7
constant	429	8
admit	429	17
solitary_confinement	429	9
bo	429	17
patients	428	2
properly	427	7
sametime	426	7
witness	424	6
capital	424	6
feelings	423	8
commit	423	17
tions	422	5
became	422	4
help	422	17
moment	422	0
occurred	422	10
gentlemen	421	11
official	420	11
interests	419	5
sound	419	7
earnings	419	2
yard	418	3
industrial	418	16
comfort	417	8
visits	417	11
believed	416	10
ticket	416	6
sick	415	3
wish	415	17
erection	414	2
instance	414	0
entered	413	10
rest	413	8
arrangements	413	5
becomes	413	4
severe	412	7
gives	412	4
peculiar	411	7
fellow	411	8
eachother	410	1
warrant	410	6
visitor	410	8
new_jersey	409	16
intent	409	1
afford	408	17
fourth	408	9
makes	408	4
merely	407	7
behalf	407	11
custody	407	6
appeared	406	4
existence	406	0
ask	405	17
actual	405	7
accused	404	6
active	403	7
fair	403	7
keepers	403	11
desirable	402	7
c	402	15
associations	402	5
enable	401	17
payment	401	2
observation	398	0
authorities	397	11
fear	396	0
streets	396	3
render	395	17
including	395	2
allow	394	17
entitled	394	10
perfect	393	7
secured	393	10
easily	393	7
lady	392	15
produced	392	10
exist	391	17
neglected	391	7
thereof	391	6
bail	391	6
record	390	0
simple	390	7
chapter	390	6
intercourse	389	1
connection	389	1
table	389	3
kindness	388	8
met	388	10
france	388	16
pass	387	17
asked	387	10
add	387	17
systems	386	5
works	385	5
suppose	385	17
really	385	7
highest	384	7
policy	384	0
hour	384	14
immediate	384	7
lives	384	8
ii	384	15
permanent	383	7
religion	383	8
majority	383	0
restraint	382	8
respectable	382	7
maintenance	382	2
serious	381	7
stone	381	3
description	381	0
humane	381	7
pardon	381	6
europe	380	16
control	380	8
erected	380	10
false	380	6
correct	380	7
showing	380	4
bank	380	15
industrious	380	8
larceny	379	6
added	378	10
writ	378	6
offered	377	10
space	377	0
love	376	8
wants	375	5
written	375	10
intemperate	375	8
assistance	375	18
fund	374	2
live	373	17
resolution	373	0
sabbath	373	9
favorable	373	7
recent	372	9
communication	372	1
transportation	372	9
higher	371	7
suffer	371	17
edward	371	15
title	371	11
appeal	371	0
benefits	370	5
questions	370	5
company	369	3
happy	369	7
abroad	369	16
juvenile	369	16
